Reference, Value, supplyer, price,needed pcs,needed pcs/pkg,Price / entity,price total,
CON1,AVR-ISP-6,http://at.rs-online.com/web/p/leiterplatten-header/5286417/,2row-20pole-10pcs/pkg  10-40pcs 2.177,6pcs for 8,1,2.177,2.177,
D1,HB,http://at.rs-online.com/web/p/leds-sichtbares-licht/7269225/,25-100pcs 0.154,1x8,8,0.154,1.232,
D2,STATUS0,http://at.rs-online.com/web/p/leds-sichtbares-licht/7269215/,25-100pcs 0.14,2x8,16,0.14,2.24,
D4,ERROR,http://at.rs-online.com/web/p/leds-sichtbares-licht/7269212/,25-100pcs 0.197 ,1x8,8,0.197,1.576,
FB1,TXN-SMA,http://at.rs-online.com/web/p/anzeigen-gluehlampen/0106458/,<240pcs 0.733,2x8,16,0.733,11.728,
IC1,ATTINY1634-SU,http://at.rs-online.com/web/p/mikrocontroller/7617703/,rs attiny1634R-su 2-8pcs 1.84 >10pcs 1.725 farnell attiny1634-su <10pcs 1.44 <25pcs 1.35,1x8,8,1.84,14.72,
P6,TEST1-3,http://at.rs-online.com/web/p/leiterplatten-header/0155901/,5pcs-40pol/pkg pcs 1.324,1.6pcs,1,6.6,6.6,
Q-NORTH1,DMC2700UDM-7,http://at.rs-online.com/web/p/transistoren-mosfet/8232918/,20-80pcs 0.1291 >100pcs 0.132,2x8+2,18,0.132,2.376,
R14,1k2,http://at.rs-online.com/web/p/smd-widerstande/8071158/,< 5pkg @ 100pcs 1.72 per pkg,5x8,1,1.7,1.7,
,,http://at.rs-online.com/web/p/smd-widerstande/7409104/,<450pcs 0.016,7x8+2x2,60,0.016,0.96,
,,,,,,,45.309, = total sum
