task, time, temp, unit
 Preheat,      1, +046,  degC
 Preheat,      6, +045,  degC
 Preheat,     11, +046,  degC
 Preheat,     16, +047,  degC
 Preheat,     21, +048,  degC
 Preheat,     26, +051,  degC
 Preheat,     31, +053,  degC
 Preheat,     36, +056,  degC
 Preheat,     41, +059,  degC
 Preheat,     46, +064,  degC
 Preheat,     51, +069,  degC
 Preheat,     56, +074,  degC
 Preheat,     61, +079,  degC
 Preheat,     66, +085,  degC
 Preheat,     71, +091,  degC
 Preheat,     76, +098,  degC
 Preheat,     81, +104,  degC
 Preheat,     86, +111,  degC
 Preheat,     91, +118,  degC
 Preheat,     96, +125,  degC
 Preheat,    101, +133,  degC
 Preheat,    106, +138,  degC
 Soak,    111, +143,  degC
 Soak,    116, +146,  degC
 Soak,    121, +148,  degC
 Soak,    126, +150,  degC
 Soak,    131, +151,  degC
 Soak,    136, +152,  degC
 Soak,    141, +153,  degC
 Soak,    146, +153,  degC
 Soak,    151, +153,  degC
 Soak,    156, +153,  degC
 Soak,    161, +153,  degC
 Soak,    166, +152,  degC
 Reflow,    171, +151,  degC
 Reflow,    176, +151,  degC
 Reflow,    181, +152,  degC
 Reflow,    186, +153,  degC
 Reflow,    191, +155,  degC
 Reflow,    196, +157,  degC
 Reflow,    201, +160,  degC
 Reflow,    206, +163,  degC
 Reflow,    211, +166,  degC
 Reflow,    216, +170,  degC
 Reflow,    221, +174,  degC
 Reflow,    226, +178,  degC
 Reflow,    231, +182,  degC
 Reflow,    236, +187,  degC
 Reflow,    241, +192,  degC
 Reflow,    246, +196,  degC
 Reflow,    251, +200,  degC
 Reflow,    256, +205,  degC
 Dwell,    261, +209,  degC
 Dwell,    266, +213,  degC
 Dwell,    271, +216,  degC
 Dwell,    276, +217,  degC
 Dwell,    281, +218,  degC
 Dwell,    286, +218,  degC
 Dwell,    291, +218,  degC
 Dwell,    296, +217,  degC
 Dwell,    301, +215,  degC
 OFF,    306, +215,  degC
 OFF,    311, +209,  degC
 OFF,    316, +204,  degC
 OFF,    321, +199,  degC
 OFF,    326, +197,  degC
 OFF,    331, +191,  degC
 OFF,    336, +190,  degC
 OFF,    341, +184,  degC
 OFF,    346, +181,  degC
 OFF,    351, +178,  degC
 OFF,    356, +172,  degC
 OFF,    361, +169,  degC
 OFF,    366, +165,  degC
 OFF,    371, +161,  degC
 OFF,    376, +158,  degC
 OFF,    381, +155,  degC
 OFF,    386, +153,  degC
 OFF,    391, +149,  degC
 OFF,    396, +146,  degC
 OFF,    401, +144,  degC
 OFF,    406, +138,  degC
 OFF,    411, +137,  degC
 OFF,    416, +134,  degC
 OFF,    421, +133,  degC
 OFF,    426, +129,  degC
 OFF,    431, +126,  degC
 OFF,    436, +124,  degC
 OFF,    441, +121,  degC
 OFF,    446, +119,  degC
 OFF,    451, +116,  degC
 OFF,    456, +114,  degC
 OFF,    461, +112,  degC
